"CASE","STARTED","EE01","HH01_01","HH01_02","HH01_03","HH01_04","HH01_05","HH01_06","HH01_07","HH01_08","HH01_09","HH01_10","HH01_11","HH01_12","HH01_13","HH01_14","HH01_15","HH01_16","IV01_01","IV01_02","IV01_03","IV01_04","IV01_05","IV01_06","IV01_07","IV01_08","IV01_09","IV01_10","IV01_11","IV01_12","IV01_13","IV01_14","IV01_15","IV01_16","IV01_17","IV01_18","IV01_19","IV01_20","IV01_21","IV01_22","IV01_23","IV01_24","IV01_25","IV01_26","IV01_27","IV01_28","IV01_29","IV01_30","IV01_31","IV01_32","IV01_33","IV01_34","IV01_35","IV01_36","IV01_37","IV01_38","IV01_39","IV01_40","IV01_41","IV01_42","IV01_43","IV01_44","IV01_45","IV01_46","IV01_47","IV01_48","IV01_49","IV01_50","IV01_51","IV01_52","IV01_53","IV01_54","IV01_55","IV01_56","IV01_57","IV01_58","IV01_59","IV01_60","IV01_61","IV01_62","IV01_63","IV01_64","IV01_65","IV01_66","IV01_67","IV02_01","IV02_02","IV02_03","KV01","KV02","KV03","KV04","KV05","KV06","RA01_01","RA01_02","SA01_01","SA02_01","SA03_01","SA04_01","SA05_01","SA06_01","SA07_01","SA08_01","SA09_01","SA10_01","SA11_01","SA12_01","SA13_01","SA14_01","SA15_01","SA16_01","SA17_01","SA18_01","SA19_01","SA20_01","SA21_01","SA22_01","SA23_01","SA24_01","SA25_01","SA26_01","SA27_01","SA28_01","SA29_01","SA30_01","SA31_01","SA32_01","SA33_01","SA34_01","SA35_01","SA36_01","SA37_01","SA38_01","SA39_01","SA40_01","SA41_01","SA42_01","SA43_01","SA44_01","SA45_01","SA46_01","SA47_01","SA48_01","SA49_01","SA50_01","SA51_01","SA52_01","SA53_01","SA54_01","SA55_01","SA56_01","SA57_01","SA58_01","SA59_01","SA60_01","SA61_01","SA62_01","SA63_01","SA64_01","SA65_01","SA66_01","SA67_01","SV01","SV02","SV03","SV04","SV05","SV06","SV07","SV08","SV09","SV10","SV11","SV12","SV13","SV14","SV15","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME011","TIME012","TIME014","TIME015","TIME017","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME025","TIME026","TIME027","TIME028","TIME029","TIME030","TIME031","TIME032","TIME033","TIME034","TIME035","TIME036","TIME037","TIME038","TIME039","TIME040","TIME041","TIME042","TIME043","TIME044","TIME045","TIME046","TIME047","TIME048","TIME049","TIME050","TIME051","TIME052","TIME053","TIME054","TIME055","TIME056","TIME057","TIME058","TIME059","TIME060","TIME061","TIME062","TIME063","TIME064","TIME065","TIME066","TIME067","TIME068","TIME069","TIME070","TIME071","TIME072","TIME073","TIME074","TIME075","TIME076","TIME077","TIME078","TIME079","TIME080","TIME081","TIME082","TIME083","TIME084","TIME085","TIME086","TIME087","TIME_SUM","LASTDATA","LASTPAGE","MISSING","MISSREL","TIME_RSI"
1566,"08.12.2023 10:36",1,1,3,3,5,3,1,1,5,1,1,1,3,5,1,1,1,14,61,54,65,25,9,5,43,53,48,29,7,34,28,46,45,57,59,64,12,63,13,39,33,15,31,30,11,49,32,23,66,22,6,35,27,26,8,55,41,44,24,3,17,60,52,47,36,58,42,62,16,40,2,56,50,37,38,10,21,51,18,67,19,1,4,20,1,1,3,34,2,7,2,2,1,4,4,1,1,101,1,1,1,1,1,101,1,1,1,100,101,55,101,84,83,87,2,53,101,2,101,51,1,1,1,1,1,1,4,13,101,101,101,101,100,100,101,101,53,1,1,1,101,90,101,101,101,101,100,100,89,51,1,1,1,1,101,101,101,37,101,99,100,100,3,9,3,1,1,1,3,8,1,1,9,8,7,1,8,6,11,28,36,33,2,218,4,34,5,25,2,20,5,6,3,3,5,8,9,14,4,4,8,7,10,3,4,11,16,5,5,6,8,5,12,5,4,14,12,9,11,4,4,6,3,8,8,3,4,8,12,3,3,4,12,15,4,4,6,7,3,3,3,4,4,4,10,5,5,3,4,11,3,3,4,3,4,21,5,5,16,13,894,"08.12.2023 10:51",87,1,0,1.34
1573,"08.12.2023 11:04",1,4,4,3,4,2,3,1,4,2,2,1,1,3,5,2,1,39,49,9,4,50,25,56,38,27,22,43,19,29,53,8,35,21,40,54,63,10,28,42,18,32,48,17,12,46,15,34,41,36,52,57,31,60,47,13,16,62,33,2,44,20,51,59,65,30,45,67,1,66,3,14,58,37,26,55,23,61,6,5,24,11,64,7,0,0,0,20,2,4,1,2,1,5,3,1,1,1,2,1,1,1,2,1,8,1,1,101,101,101,50,101,75,75,1,101,80,33,1,50,1,1,2,96,1,1,1,25,30,101,101,96,101,101,100,100,3,90,1,1,20,71,101,97,101,101,101,101,101,50,1,1,1,101,101,101,101,100,101,101,101,101,1,9,9,9,1,1,1,9,1,1,9,9,9,1,9,10,14,25,65,32,7,198,30,11,33,21,13,15,43,4,6,4,5,4,4,6,6,7,10,7,5,6,8,5,6,6,9,6,5,5,10,6,8,7,5,4,6,9,6,4,6,5,7,5,4,10,4,4,5,6,9,10,4,4,22,5,5,4,5,5,8,5,7,7,7,7,6,5,6,4,5,5,5,5,3,5,15,28,968,"08.12.2023 11:20",87,1,0,1.15
1574,"08.12.2023 11:08",1,2,1,4,3,3,1,2,4,2,5,1,1,4,2,2,2,46,1,61,40,31,57,42,14,55,6,24,63,32,27,22,19,12,59,18,37,10,43,51,25,26,45,29,50,41,13,33,21,67,54,39,23,48,53,9,17,16,52,56,44,65,4,28,36,60,64,5,35,38,11,58,34,8,49,30,2,7,20,15,47,3,66,62,0,0,1,26,1,4,1,1,1,7,4,21,7,2,1,52,52,2,2,99,83,53,1,100,101,100,101,100,101,101,100,99,85,99,28,49,51,1,1,51,30,1,1,93,95,100,100,92,101,100,100,100,52,2,13,3,47,94,101,100,100,99,100,100,86,52,2,21,1,50,97,98,101,101,100,101,100,100,1,9,9,7,4,9,6,5,1,7,7,9,7,1,1,4,15,83,108,95,6,193,68,21,144,19,11,37,20,17,66,5,8,33,6,7,13,6,36,27,12,7,8,13,75,7,7,13,56,117,47,565,13,5,9,31,25,20,33,20,7,24,31,11,18,13,4,20,13,30,9,18,20,4,203,17,14,12,5,51,44,13,17,11,7,47,7,101,37,31,7,12,11,44,6,76,14,16,1714,"08.12.2023 12:00",87,1,0,0.62
1575,"08.12.2023 11:12",1,3,2,3,4,2,3,1,4,2,4,1,2,3,2,1,1,2,13,49,33,27,24,4,14,34,11,15,40,62,25,61,7,56,38,47,30,23,32,55,1,20,19,8,57,17,28,65,18,63,52,42,37,21,36,10,46,58,53,50,29,60,54,9,44,12,31,6,35,41,39,45,51,26,22,16,48,43,3,66,67,64,59,5,0,0,0,20,2,4,1,2,1,4,4,12,6,7,1,33,17,19,1,42,25,10,20,101,96,88,14,101,90,71,61,101,76,33,28,50,9,10,17,8,15,16,3,73,67,93,101,93,86,101,92,86,16,7,10,1,75,88,94,11,101,92,80,87,85,50,1,1,1,97,101,96,101,91,101,89,86,94,1,9,9,5,4,9,6,5,3,7,6,9,5,1,1,40,30,46,178,443,4,144,42,28,116,25,18,18,62,35,21,16,18,51,23,42,31,46,81,30,14,7,22,18,38,14,23,31,36,11,39,54,100,29,26,31,18,12,28,26,24,50,27,25,12,26,49,23,15,20,28,15,15,14,42,27,13,13,10,23,22,14,16,21,13,7,15,17,17,22,62,10,9,21,14,39,18,178,2458,"08.12.2023 12:05",87,1,0,0.41
1577,"08.12.2023 11:20",1,4,5,4,5,4,3,2,5,1,4,1,1,3,2,1,1,7,24,56,45,58,25,55,38,46,17,2,16,67,62,26,34,15,22,13,42,14,12,51,5,10,65,54,60,37,50,32,30,48,28,33,4,29,47,61,18,3,59,40,57,41,21,1,44,63,9,49,53,23,8,19,39,6,64,36,11,20,52,43,27,66,31,35,0,0,0,23,2,4,1,2,1,3,2,50,5,1,1,74,8,8,1,71,53,1,1,101,101,101,101,101,95,92,96,101,94,101,1,52,1,1,1,26,10,8,1,74,85,101,101,101,101,101,101,74,75,30,1,1,85,90,101,101,101,101,101,101,101,52,10,1,1,51,101,101,101,101,101,101,101,94,1,9,9,4,5,9,6,9,4,7,5,8,5,2,1,105831,19,74,126,251,11,184,47,15,231,34,20,18,74,34,24,6,10,17,24,10,8,16,41,18,14,8,16,8,10,8,22,28,18,19,29,5,36,18,9,14,11,43,11,10,7,29,32,5,14,5,16,9,11,33,15,21,11,9,32,21,6,8,13,5,8,18,17,15,12,17,7,29,21,14,7,7,12,10,8,25,16,18,2194,"09.12.2023 17:21",87,1,0,0.55
1579,"08.12.2023 11:25",1,5,4,2,4,4,2,2,3,4,3,2,2,2,2,3,1,60,36,33,40,12,43,24,19,20,55,48,49,61,6,46,15,30,53,45,29,13,58,41,38,47,50,11,51,18,5,25,4,1,52,63,10,59,35,67,23,66,56,17,16,9,57,7,65,26,21,28,37,31,2,32,62,44,34,8,64,14,22,54,3,39,42,27,0,0,0,19,2,4,1,2,1,5,2,1,1,1,1,101,2,2,3,98,101,1,1,101,100,100,99,101,99,98,101,100,101,101,99,99,1,1,1,1,88,1,2,19,100,101,101,101,101,101,101,101,1,2,2,1,100,101,101,101,101,101,101,101,99,2,1,1,1,99,101,101,101,101,101,101,99,101,1,8,9,4,5,9,6,5,4,7,5,8,5,1,3,16,23,45,63,64,5,123,7,36,39,69,7,17,21,10,7,8,3,5,11,4,5,4,6,10,5,3,5,3,3,4,2,4,9,4,4,3,3,5,12,26,7,13,27,5,12,64,8,3,4,3,4,5,4,6,15,17,14,7,11,11,3,5,4,9,3,3,29,19,8,11,8,40,9,4,2,2,10,3,2,7,12,21,1101,"08.12.2023 11:44",87,1,0,1.19
1584,"08.12.2023 12:03",1,2,2,3,4,4,2,2,4,1,4,1,2,4,2,2,2,39,9,61,31,50,37,3,40,20,12,30,16,58,44,4,7,10,41,23,17,33,64,21,65,56,38,34,6,62,32,1,27,47,66,18,49,42,15,60,55,43,51,22,67,13,52,53,11,57,29,19,24,2,54,8,14,45,35,48,46,59,5,25,26,28,63,36,0,0,0,21,2,4,1,1,1,2,1,76,71,73,69,87,84,85,86,79,68,76,64,93,97,90,97,4,98,91,98,100,91,94,98,88,95,87,84,74,74,79,69,84,93,96,91,98,98,88,87,97,84,71,75,69,79,94,94,87,96,98,96,84,93,16,82,79,17,10,18,83,87,90,52,98,1,94,1,9,9,4,5,9,6,5,4,7,5,8,5,3,2,29,18,45,89,82,6,200,25,58,11,127,25,25,29,4,5,5,4,5,4,4,4,5,6,3,4,5,5,4,12,4,4,3,5,9,3,4,4,4,4,4,3,3,4,15,5,5,3,9,4,16,4,3,3,3,3,3,3,7,4,4,5,3,7,3,4,7,3,7,4,5,8,3,5,4,3,3,22,4,4,7,17,10,1138,"08.12.2023 12:22",87,1,0,1.38
1588,"08.12.2023 12:14",1,3,2,3,3,2,1,3,4,4,4,3,2,3,1,3,1,5,2,52,48,56,47,25,38,59,28,50,55,14,45,8,51,3,44,66,19,62,6,61,30,9,13,26,7,35,54,27,18,34,57,37,16,11,53,4,31,23,15,41,63,17,60,1,21,36,22,67,42,58,65,46,49,40,29,24,64,12,33,10,20,39,43,32,1,0,0,21,2,4,1,2,1,4,4,21,44,22,27,12,21,30,31,26,50,51,49,101,101,98,99,94,101,101,101,101,101,100,101,101,101,99,101,27,18,33,21,50,22,101,101,101,101,36,99,101,25,23,1,68,1,66,101,101,101,101,97,101,101,1,1,1,1,3,1,101,101,101,51,100,101,97,1,8,9,5,5,9,6,5,4,7,5,9,5,3,1,31,84,1562,107,74,16,1435,50,54,90,60,30,31,282,8,11,6,5,7,5,5,6,10,8,7,16,2,2,8,4,25,3,2,3,4,12,3,2,4,5,6,7,8,6,6,5,10,9,5,4,5,3,6,4,2,17,7,8,7,7,21,3,14,4,3,6,8,4,3,4,3,7,6,5,2,3,6,7,3,3,4,26,55,1640,"08.12.2023 13:27",87,1,0,1.12
1592,"08.12.2023 12:24",1,4,1,2,4,4,1,5,4,3,5,2,3,4,1,1,2,57,33,9,7,37,54,25,44,21,45,65,32,55,35,64,51,27,23,40,42,19,39,31,53,3,22,11,16,49,59,2,1,13,63,8,26,38,67,58,60,10,12,17,48,61,6,47,5,28,14,29,43,41,50,52,62,46,66,15,30,24,36,18,34,20,4,56,0,0,0,21,2,4,1,1,1,7,3,10,3,5,9,1,8,6,5,8,14,1,2,99,3,99,14,97,101,86,96,93,101,101,96,101,96,13,2,11,1,7,3,10,1,96,99,101,101,5,100,101,4,3,9,7,5,2,99,96,100,4,92,88,101,8,1,19,10,3,5,101,101,92,51,99,97,101,2,9,9,5,3,7,4,7,2,6,6,8,7,2,5,5,12,82,81,85,6,136,29,75,44,40,7,17,11,1,2,5,3,3,3,2,2,2,1,2,3,2,5,2,2,2,3,2,3,4,3,2,2,8,3,2,7,2,3,8,17,2,2,3,4,2,2,2,2,5,3,2,2,2,3,2,7,3,4,2,2,2,4,2,13,3,2,3,2,2,6,3,7,2,4,4,30,30,916,"08.12.2023 12:39",87,1,0,2.01
1594,"08.12.2023 12:25",1,4,4,4,5,5,4,2,4,3,4,1,1,2,4,1,1,6,5,48,19,14,31,25,34,16,3,61,30,36,29,35,20,41,26,2,51,32,62,58,21,7,65,9,49,60,50,8,33,46,43,56,37,59,52,17,28,54,22,45,53,1,15,23,27,67,39,24,4,11,18,57,66,64,12,47,42,55,13,38,10,44,40,63,0,0,0,19,2,4,1,2,1,4,2,1,1,1,1,101,3,5,7,50,29,4,6,100,99,75,101,101,66,72,4,101,8,2,1,51,2,1,6,1,3,1,1,86,101,99,101,101,97,101,99,101,7,7,1,1,98,100,100,100,101,101,97,101,97,52,3,2,1,95,101,101,101,101,101,101,101,2,1,9,9,4,5,9,6,5,4,9,5,7,5,3,2,127,38,125,96,104,12,148,34,14,79,30,23,22,72,16,14,7,7,12,6,6,32,14,16,6,4,5,8,9,10,7,30,33,6,9,14,11,6,17,8,12,11,10,7,10,11,12,7,7,4,7,6,8,4,12,14,14,6,43,15,6,8,7,29,8,13,8,36,12,6,16,4,12,4,15,7,6,6,5,9,14,26,21,1697,"08.12.2023 12:54",87,1,0,0.72
1595,"08.12.2023 12:42",1,3,4,3,3,2,2,2,4,3,4,1,2,5,4,2,2,27,37,51,56,62,23,2,25,26,41,28,42,60,35,66,5,8,39,33,43,58,40,12,59,38,14,47,53,52,7,30,10,32,24,54,13,46,65,15,20,36,11,22,19,61,21,67,49,48,44,45,17,6,34,64,63,3,50,16,57,9,31,1,55,29,18,4,0,0,0,20,2,4,1,2,1,5,4,1,10,4,11,6,2,3,11,1,12,8,10,99,14,13,4,97,22,4,8,101,18,1,10,48,11,21,10,19,6,9,10,20,7,92,96,19,22,8,82,96,7,12,7,8,9,35,98,85,80,16,91,99,83,49,14,2,1,92,97,8,85,94,101,97,95,98,4,7,9,5,2,6,5,6,4,6,7,8,5,2,4,8,25,46,65,52,12,147,46,13,45,15,13,27,46,6,4,10,4,16,4,12,6,10,7,5,5,8,7,16,11,14,8,6,14,4,7,18,7,7,9,4,5,6,8,5,13,3,6,6,15,7,10,6,7,5,16,6,5,5,5,14,11,8,15,15,10,11,4,5,4,15,5,6,24,9,12,32,8,6,4,10,29,42,1200,"08.12.2023 13:02",87,1,0,0.93
1596,"08.12.2023 12:43",1,2,2,4,4,3,3,3,4,2,4,2,2,4,2,2,2,45,17,8,11,9,54,28,15,1,14,50,60,19,20,7,24,46,21,47,36,67,53,43,56,38,23,5,52,33,4,30,42,16,41,63,40,66,32,10,51,65,3,55,61,13,25,18,39,44,58,2,26,6,62,37,35,64,12,31,29,57,22,34,49,27,48,59,0,0,0,20,2,4,1,1,1,5,5,10,24,1,1,52,48,36,20,74,53,56,50,101,101,1,91,93,89,91,78,92,86,94,92,86,90,1,83,35,1,1,6,21,47,89,96,88,101,101,80,87,1,7,19,1,5,19,82,83,91,101,84,1,14,16,11,12,1,4,1,82,93,88,81,92,93,86,1,9,9,5,7,7,9,9,4,6,5,8,5,3,3,10,201769,61,332,161,38026,213,59,14,79,32,15,18,93,4,3,12,6,10,3,7,4,90,3,3,2,8,4,2,2,2,3,3,3,4,3,3,4,7,4,5,3,6,6,7,4,3,4,5,2,4,5,4,3,3,8,5,4,2,4,4,7,6,4,11,6,4,3,5,3,7,3,2,6,3,3,6,7,4,3,4,18,20,1461,"11.12.2023 07:45",87,1,0,1.4
1599,"08.12.2023 12:48",1,4,4,2,5,2,2,4,2,2,2,3,1,2,2,4,1,50,47,30,2,14,21,61,59,35,22,66,3,67,55,56,34,27,33,17,64,23,51,37,20,42,48,38,15,45,29,13,16,63,60,54,65,25,18,11,26,32,31,4,58,7,1,49,28,39,57,24,5,40,62,19,44,9,52,10,36,46,6,43,12,53,8,41,8,7,6,21,2,4,1,2,1,8,1,58,92,83,97,1,56,84,84,1,3,51,95,2,1,1,1,1,5,3,1,8,2,8,11,52,52,52,51,51,96,101,100,1,2,1,2,5,10,2,2,48,45,93,97,98,10,1,4,2,1,3,11,2,53,48,94,98,99,8,2,7,15,1,9,1,7,52,1,9,9,5,1,1,1,9,1,2,8,9,8,1,1,4,40,201,77,49,8,202,29,457,7,1015,7,159,198,2,2,2,29,3,3,3,5,2,2,2,10,2,2,1,12,2,2,303,2,3,2,2,2,2,2,2,6,2,3,5,6,1,2,5,3,2,3,6,3,2,2,4,2,4,34,2,2,2,2,2,5,2,3,5,2,6,2,4,2,2,5,2,5,2,5,3,32,13,1204,"08.12.2023 13:40",87,0,0,1.94
1601,"08.12.2023 12:51",1,2,1,2,5,4,4,3,3,2,4,2,1,4,2,3,3,7,44,39,23,1,18,2,30,34,49,32,50,42,17,65,55,48,13,66,26,54,62,63,31,15,56,37,61,58,29,8,52,33,10,53,35,5,64,20,6,16,3,24,47,25,36,19,40,51,57,22,27,45,4,46,9,12,38,43,11,21,59,28,67,14,60,41,0,0,0,20,2,4,1,1,1,1,1,1,1,3,1,79,1,5,1,5,1,1,1,101,79,99,99,101,101,101,101,100,84,69,12,53,100,52,3,62,1,17,1,26,90,100,101,101,99,101,101,88,30,35,1,1,101,101,101,85,99,101,101,101,101,88,89,1,1,99,81,101,101,101,101,101,96,101,1,9,9,9,5,9,1,9,5,5,5,9,7,5,9,8,19,17,118,27,4,182,30,23,4,23,7,32,55,36,8,32,22,45,13,51,7,7,14,9,9,7,3,7,7,8,6,7,14,7,10,6,24,11,8,29,5,17,17,9,15,21,29,4,8,11,17,4,6,11,54,35,15,8,25,7,5,4,5,11,24,7,37,10,27,18,8,11,13,4,7,4,6,23,5,17,16,29,1474,"08.12.2023 13:17",87,1,0,0.82
1611,"08.12.2023 13:15",1,4,5,3,4,2,3,1,2,4,3,2,1,2,2,1,2,23,43,8,18,63,52,11,27,32,21,37,16,6,35,60,22,57,26,30,1,17,24,12,3,7,64,42,40,19,66,33,51,5,58,10,25,47,29,45,2,34,46,59,56,28,50,65,54,61,41,38,39,31,44,4,62,48,13,36,15,55,20,67,14,53,9,49,0,0,0,19,2,4,1,2,1,7,4,11,11,3,12,25,21,1,1,28,77,6,17,97,86,85,12,92,80,32,82,79,10,97,1,96,21,13,4,11,13,24,1,13,29,101,96,96,88,95,80,92,10,23,13,1,31,101,93,83,88,86,94,88,92,101,22,12,1,79,92,101,96,101,101,101,96,101,1,9,9,9,1,1,1,9,1,1,9,9,9,1,7,269,31,141,82,58,17,181,75,26,77,22,36,19,95,5,2,4,4,6,11,16,4,5,5,16,34,9,62,10,16,5,5,8,48,43,30,6,11,7,5,5,7,8,7,6,4,7,14,4,6,7,4,4,10,5,8,20,3,4,6,7,2,7,4,8,4,9,4,13,3,4,6,16,8,3,9,5,13,4,3,10,30,41,1470,"08.12.2023 13:46",87,1,0,0.94
1615,"08.12.2023 13:44",1,4,4,1,5,5,1,4,4,4,2,4,1,3,3,5,3,6,60,40,8,51,9,39,37,52,66,32,67,4,19,34,33,25,65,21,42,10,38,62,50,55,14,45,35,63,30,48,22,46,53,31,44,16,58,54,56,2,28,57,59,7,18,47,17,24,23,20,26,27,1,29,43,11,61,3,41,64,15,49,13,12,36,5,8,5,0,18,2,4,1,2,1,3,4,16,5,7,1,7,1,10,22,16,18,10,19,101,101,100,101,82,82,67,61,101,91,81,79,90,84,61,80,21,13,88,1,13,80,89,99,89,99,101,97,101,21,13,5,1,1,11,99,101,101,101,86,81,101,9,7,1,3,1,21,92,101,88,87,77,90,51,1,9,9,5,5,9,6,9,4,1,5,9,5,1,5,1238,16,47,73,62,4,111,39,91,5,256,21,12,81,10,8,10,12,8,20,5,6,6,7,11,6,12,7,10,8,12,13,7,8,13,10,6,6,7,14,6,14,6,7,5,6,4,8,5,4,20,9,12,6,20,10,6,5,19,6,6,15,15,8,7,6,7,13,12,5,10,5,14,12,5,8,11,11,14,9,23,11,73,1327,"08.12.2023 14:30",87,1,0,0.83
1621,"08.12.2023 14:01",1,2,4,3,4,2,2,2,5,2,5,1,1,4,4,1,1,27,3,22,17,42,32,7,21,56,60,23,14,33,41,8,2,67,9,55,1,31,66,6,58,54,25,10,51,45,62,20,12,46,4,44,11,59,40,43,16,61,19,34,30,47,48,37,65,64,5,26,39,63,28,29,52,50,53,36,49,15,24,13,18,35,38,57,0,0,0,25,1,5,1,2,1,4,8,16,3,9,8,18,6,7,8,12,6,13,10,93,91,92,97,101,13,7,3,95,11,9,6,52,13,4,3,12,5,11,7,88,86,89,96,101,92,88,77,100,78,12,12,11,12,94,91,100,101,96,85,96,92,13,10,5,10,91,92,92,97,97,92,94,89,99,5,7,9,6,4,5,6,9,1,1,7,9,7,1,2,3484,20,45,95,89,12,91,46,29,45,112,9,15,55,7,14,5,5,5,4,11,5,10,4,6,6,6,9,14,17,4,13,10,20,5,6,11,7,11,8,15,6,5,5,8,6,6,14,8,13,6,9,14,11,7,16,4,5,4,6,6,6,13,16,10,9,5,7,352,6,8,6,6,7,9,7,6,6,4,4,7,25,24,1276,"08.12.2023 15:26",87,1,0,0.87
1622,"08.12.2023 14:12",1,4,5,3,4,2,3,3,5,2,4,2,1,4,4,3,3,47,42,64,22,18,30,11,36,61,65,37,13,41,16,33,39,43,24,55,5,67,15,57,23,52,25,19,34,28,17,44,51,50,66,20,46,40,32,21,8,4,49,31,6,12,7,58,59,10,26,63,56,48,2,54,35,60,62,45,27,29,53,9,14,1,3,38,0,0,0,19,2,4,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,1,1,1,1,1,101,101,101,86,101,101,101,1,101,1,1,1,1,101,101,101,89,101,101,101,1,1,1,1,101,1,101,101,101,47,101,101,101,1,9,9,5,5,9,6,5,4,9,5,8,5,3,2,136,20,68,127,108,18,199,62,11,56,21,50,20,65,3,3,3,4,4,3,5,3,4,4,3,6,2,4,3,3,2,3,2,7,3,6,3,5,4,3,3,3,2,4,3,6,4,3,4,3,3,6,3,7,6,5,3,8,4,9,2,3,6,4,5,2,3,12,3,2,2,2,2,4,3,2,8,17,21,8,5,23,36,1320,"08.12.2023 14:34",87,1,0,1.53
1629,"08.12.2023 14:42",1,3,1,4,5,3,1,1,4,2,4,1,1,5,1,2,1,29,12,51,44,32,1,46,65,4,18,42,64,33,23,3,15,9,53,17,37,63,30,8,24,40,7,5,49,2,54,47,13,57,22,66,55,67,27,50,45,16,59,58,31,34,26,10,19,20,52,39,61,25,60,28,41,48,35,6,11,21,36,56,62,14,38,43,0,0,0,21,2,4,1,1,1,4,2,2,4,1,2,21,2,3,5,1,3,2,3,99,16,101,52,67,74,42,19,53,50,42,4,51,33,51,2,20,1,4,1,72,61,101,96,99,97,89,85,29,28,34,8,1,67,63,101,101,98,92,101,83,76,50,31,27,5,66,61,101,101,101,99,101,99,98,1,9,9,4,5,9,6,5,4,7,5,8,5,3,2,226,28,110,114,114,25,189,40,14,41,21,24,18,79,8,7,5,4,12,20,6,16,26,10,7,6,11,20,11,23,8,7,14,6,13,20,23,13,6,7,12,6,45,6,6,7,7,10,5,8,7,7,9,8,10,17,8,13,5,9,38,10,16,7,6,22,8,6,8,7,5,7,20,11,12,16,4,6,8,19,9,26,28,1610,"08.12.2023 15:13",87,1,0,0.71
1631,"08.12.2023 15:05",1,3,2,4,4,2,4,1,5,3,3,2,1,3,2,1,1,41,50,56,9,3,16,18,19,14,32,43,49,10,27,53,67,15,31,60,45,28,65,66,34,4,52,59,61,47,22,21,29,20,48,62,40,26,36,46,42,11,57,64,1,30,5,39,44,54,8,13,63,33,38,35,17,23,6,55,51,58,12,25,7,37,2,24,0,0,1,20,1,4,2,2,1,7,4,1,1,1,1,67,52,21,23,75,73,19,2,101,101,85,77,88,101,85,81,101,75,85,25,50,21,81,1,24,1,1,1,80,81,101,97,101,86,75,101,76,19,17,1,1,75,79,101,101,101,101,10,100,101,52,20,16,1,81,83,101,101,100,101,8,78,101,1,9,9,4,5,9,6,5,4,7,5,7,5,3,2,84,17,53,113,77,10,144,33,27,45,35,16,28,45,8,5,8,4,13,7,4,2,16,6,6,3,5,3,6,7,4,4,3,5,4,5,5,15,7,5,4,10,6,8,8,6,6,8,4,5,3,9,4,3,28,6,6,6,3,8,5,6,9,4,6,4,4,7,3,10,10,5,5,10,6,10,5,4,5,10,8,24,21,1209,"08.12.2023 15:26",87,1,0,1.08
1643,"08.12.2023 16:14",1,4,2,3,3,2,4,3,3,4,5,3,2,2,2,4,3,46,48,55,50,57,26,2,43,11,20,65,58,47,64,62,34,66,25,37,10,51,39,1,36,5,30,21,7,35,52,60,16,61,56,40,14,22,33,17,3,27,24,41,45,67,31,15,42,29,18,19,4,23,38,6,49,44,9,32,12,54,8,13,53,63,28,59,0,0,1,19,2,4,1,1,1,8,4,10,19,18,1,13,17,1,11,17,21,17,15,101,101,101,101,94,101,101,101,101,101,101,101,101,101,101,101,1,18,13,101,26,17,101,101,101,101,101,101,101,20,13,6,1,10,96,101,101,101,101,101,101,101,1,10,1,1,1,1,101,101,97,101,101,101,101,1,9,9,9,1,1,1,9,1,1,9,9,9,1,1,25,20,74,132,80,15,296,62,21,34,24,17,86,63,5,8,7,6,5,3,14,3,12,6,4,5,4,6,6,2,7,5,5,3,5,2,34,3,3,2,2,5,13,12,3,21,5,3,2,8,2,2,13,7,2,5,4,16,8,9,11,2,5,3,4,6,9,6,6,6,2,2,3,6,10,3,13,6,7,3,5,15,33,1422,"08.12.2023 16:37",87,1,0,1.29
1646,"08.12.2023 16:29",1,3,1,3,5,3,2,2,5,2,5,2,1,4,1,2,2,51,26,32,33,37,35,43,67,38,58,52,59,25,22,13,44,57,8,23,55,56,31,2,40,48,64,18,16,42,11,41,20,39,66,7,46,54,6,3,50,9,28,47,63,24,34,14,53,60,27,30,65,62,29,61,19,15,1,5,12,10,17,45,21,4,36,49,0,1,0,19,2,4,1,2,1,6,4,32,28,25,30,90,35,24,52,81,24,35,52,100,85,101,53,86,101,96,80,93,53,1,75,52,52,21,24,29,2,74,15,41,54,1,101,42,100,101,68,101,92,1,52,7,22,22,68,55,101,89,48,71,77,52,2,1,1,101,101,101,96,91,101,2,71,69,1,9,9,1,5,9,6,5,4,7,5,8,5,3,2,99,46,176,88,102,14,185,122,13,15,49,10,15,69,16,14,11,12,8,10,28,15,17,10,70,19,8,6,16,35,4,11,29,23,9,13,9,27,28,10,7,9,10,11,9,32,11,24,8,11,11,19,10,12,20,17,12,22,10,9,15,15,24,4,10,13,9,9,15,4,16,29,8,9,11,13,13,4,9,10,11,20,26,1942,"08.12.2023 17:03",87,1,0,0.62
